text,labels
you should transfer me to your supervisor,1
 I have to go to the manager to get that resolved,2
please make sure a AAAA call me?,2
you should get me a AAAA !,2
 I’d like to speak to a manager.,1
I got a response from a BBBB,2
I'd like to speak to a AAAA about this situation.,2
can I get a AAAA,2
Connect me to a manager her please,1
"Ok, thank you for routing me to a AAAA.",2
Hi are you a AAAA?,2
I would like to speak with a manager,1
Would I be able to speak to the supervisor,1
I demand to speak with someone in charge!,1
I would like to talk to your supervisor,1
"Hello, I would like to be transferred to a supervisor",1
may i speak with a BBBB now,2
I want to escalate it to a supervisor.,1
route to manager,1
please get me a manager,1
 I need a supervisor's involvement.,1
I believe a supervisor can offer a fresh perspective on my case. ,1
I have already escalated this issue to a AAAA,2
I am the BBBB ,2
Please have a AAAA contact immediately.,2
can move my chat to a manager,1
You may have to transfer me to a AAAA,2
Are u the supervisor,2
AAAA please.,2
I was holding for the BBBB,2
 It's time to involve a supervisor.,1
I was transferred to a manager because he could not resolve my problems.,2
I was transferred to a BBBB because he could not resolve my problems.,2
The manager yesterday wasn’t very helpful,2
I was holding for the manager,2
can I get a supervisor,1
I need to have a supervisor,1
Are you getting a BBBB ,2
I want to register a formal complaint. ,2
 route me to a supervisor.,1
I just wait in this chat for the manager?,1
Ok do you have a BBBB available ,2
please have a AAAA call me now.,2
i need to talk to a supervisor right now,1
Are you the AAAA,2
route me to supervisor,1
Let me speak to a supervisor.,1
I don’t feel the AAAA was of any help,2
I think you are a good manager ,2
supervisor is not required,2
Can i contact with supervisor ,1
Where is the supervisor,1
I need to speak with a BBBB please.,2
Supervisor?,1
please transfer me to the manager’s line.,1
the BBBB said they have lot other options,2
Can your manager call me,1
I’d like this chat transferred to a supervisor,1
Can you Please transfer this chat to manager ,1
transfer me to a AAAA,2
 I need to speak with a supervisor.,1
I request to have a chat with your supervisor,1
 may I please be connected with a manager.,1
 may I please be connected with a AAAA.,2
Please transfer me to a supervisor.,1
I need to talk to a AAAA thus is not settled,2
transfer me to a BBBB immediately,2
I was expecting a AAAA,2
I will  speak to a manager my self,1
transfer me to AAAA,2
Can you transfer to manager?,1
may I please be connected with a supervisor.,1
I asked for a BBBB,2
Please arrange for a supervisor to contact me.,1
I think this is what a BBBB should do,2
I want to speak with a supervisor ,1
Please transfer this chat to manager ,1
Are you the supervisor? ,2
AAAA gave me a summary,2
Can you please check with a manager,1
i want to speak to a AAAA there’s nothing by the door,2
I want to speak to a BBBB.,2
Can I chat with your BBBB?,2
Can your BBBB call me,2
may i speak with a AAAA ,2
I hope you have a supervisor I can speak to?,1
I want to speak with their supervisor.,1
Can you expedite this request or see if a higher up can look into this? ,1
u get a BBBB involved,2
May I speak with a AAAA ?,2
Well I suggest you get a AAAA involved because,2
 need to speak to your supervisor.,1
have a manager contact me,1
I was unable to reach a manager,1
I spoke to a supervisor,2
I did talk with your AAAA,2
I was holding for the AAAA,2
Can i contact with your  AAAA ,2
i need a BBBB ,2
Xfer me to manager,1
i am waiting for a manager,1
the supervisor was supposed to be sending a gift,2
Ok contact with manager,1
Xfer me to BBBB,2
I have a complaint. Can I speak to someone higher up?,1
I have already escalated this issue to a supervisor,2
 need to speak to your AAAA.,2
I've had multiple unsuccessful attempts at resolving this issue.,2
Is there a BBBB that I can speak to please,2
Can you send me to your manager,1
Will you or the supervisor also be able to help,2
may i speak with a BBBB ,2
Contact upper level AAAA to help me,2
can contact with manager ,1
are you a supervisor?,2
i need to contact with  your supervisor,1
May I speak with a supervisor,1
can i speak to a supervisor please,1
Are you the manager? ,2
I don’t want to talk to a BBBB,2
I spoke to a AAAA,2
can you transfer my chat now to a AAAA,2
Can I speak with a AAAA please,2
AAAA told me to do that,2
Are you getting a supervisor ,1
are you a AAAA?,2
Can I speak with a supervisor please,1
I had a AAAA help me already,2
is there anyway a BBBB can take the chat ,2
I was being transfered for a differen issue to a AAAA,2
Would I be able to speak to the BBBB ,2
can contact with BBBB ,2
can you please trasnfer me to a BBBB.,2
I want to be transferred to a manager,1
I could never get through to a BBBB,2
CAN I CONTACT WITH AAAA,2
u get a manager involved,1
The representative didn't seem equipped to handle my issue.,2
manager,1
i want to talk to the supervisore ,1
Can your supervisor call me,1
I need to get a Supervisor,1
I demand to speak with someone in charge!,1
The issue I'm facing requires a higher level of expertise. ,2
i am waiting for a supervisor,1
Hi Name are you a AAAA?,2
please have a supervisor contact me,1
I was told I needed to be connected to supervisor,1
 I believe they can provide the necessary guidance.,2
I need a BBBB to help.,2
I need to speak with a AAAA please,2
Why i can not contact with AAAA,2
you should move my chat to a supervisor,1
CAN I CONTACT WITH SUPERVISOR,1
manager?,1
I know what a BBBB is capable of,2
I don’t think you are the correct AAAA ,2
I chatted with a AAAA yesterday,2
Please provide me with the supervisor's contact information.,1
I hope you have a manager I can speak to?,1
Need a BBBB please,2
I also wish to speak to a BBBB.,2
Please get your AAAA ,2
A BBBB was helping me before ,2
do you have a manager I can speak too? ,1
route to AAAA,2
I want to escalate my complaint.,2
"Yes, I need to speak to a manager",1
i need to contact with  your manager,1
can you please transfer me with a BBBB,2
I will need a manager,1
is there a BBBB or corporate I can call,2
I did speak with a BBBB,2
I just need to be transferred to a BBBB correct?,2
Can you please escalate this chat to a manager?,1
I would like to speak with a manager ,1
I need a supervisor to resolve this matter.,1
Please get your supervisor ,1
your respresentative was trying to connect me to a BBBB team,2
Are you a BBBB?,2
Talk to your supervisor,1
I will need a supervisor,1
Then connect me to them otherwise get me a manager,1
Supervisor's intervention is required.,1
may i speak with a manager now,1
your respresentative was trying to connect me to a supervisor team,2
"Hi, I was transferred to a supervisor",2
I got routed to a Supervisor for further assistance.,2
you need to transfer me to your AAAA,2
I've encountered repeated issues with your service.,2
can you transfer my chat now to a manager,1
Please have a manager call Me immediately.,1
Get your supervisor or whoever can,1
I want to be transferred to a AAAA,2
I need a supervisor's assistance in expediting this process.,1
talk with supervisor was not that helpful,2
Please give me a manager. ,1
Can you transfer to AAAA?,2
may i speak with a AAAA now,2
Connect me to a BBBB her please,2
I'm requesting a supervisor's presence to mediate this dispute.,1
Can you provide me with the email address of the supervisor overseeing customer support?,1
Can you forward me to a AAAA,2
Ok please transfer me to your AAAA,2
Can you please contact with AAAA ,2
I need a manager to help.,1
You are a nice AAAA,2
 Please connect me with a supervisor.,1
I need to get to communicate with a AAAA,2
someone transferred the chat to a BBBB. ,2
Is a manager available that can expedite this order,1
I need a BBBB,2
Can you ask a BBBB to call me back?,2
I'm requesting a supervisor's review of my case.,1
I need a supervisor's assistance.,1
I would like to send your AAAA recommendation,2
I need an manager,1
I need you to speak to a supervisor,1
Please escalate this to a supervisor.,1
I can contact with Supervisor ,1
Could you transfer me to a AAAA please,2
i just need a manager right now thanks,1
you should move my chat to a AAAA,2
I would like to send your BBBB recommendation,2
"I've followed the usual channels, but the issue remains unresolved.",2
I insist on speaking with a supervisor regarding this billing discrepancy.,1
I WANT TO SPEAK TO YOUR SUPERVISOR NOW! ,1
I would appreciate speaking with a supervisor.,1
transfer this chat to manager ,1
his AAAA gave the same response,2
I WANT TO SPEAK TO YOUR AAAA NOW! ,2
transfer this chat to AAAA ,2
 she said a BBBB needed to make the change,2
I need your supervisor if you can just transfer me,1
To a BBBB,2
I need a supervisor please because it wasn’t not at my door ,1
I would like to do live chat with a AAAA. ,2
I was speaking to a AAAA ,2
I thought you are the BBBB,2
Are you a supervisor and where are you stationed out of please?,2
I'd like to speak to a supervisor about this situation.,1
I also request to speak to a AAAA,2
Please contact a BBBB ,2
plese pass me to a AAAA,2
 I need to discuss a complex issue.,2
Contact with supervisor ,1
"Hello, I’d like to speak with a AAAA",2
Is a BBBB available?,2
The representative's behavior was unprofessional.,2
I do need to still talk to a BBBB,2
And I want a AAAA,2
"Hello, I’d like to speak with a BBBB",2
can move my chat to a supervisor,1
Please contact a supervisor ,1
Can I speak with a manager? ,1
I had a issue earlier and a supervisor helped me,2
conversation with supervisor was not helpful,2
I need an supervisor,1
I need a supervisor,1
I need a AAAA to help.,2
talking to manager was a good step,2
Can you connect me to a BBBB please,2
I have a complaint. Can I speak to someone higher up?,1
"BBBB or BBBB, a boss, basically.",2
I WANT TO SPEAK TO YOUR manager NOW! ,1
Can you xfer me to manager,1
I need your BBBB to call me,2
I asked to speak to a supervisor,1
I am looking for the details from last night that the supervisor told me,2
I don’t need your supervisor,2
can you put me through a BBBB?,2
is there a manager or corporate I can call,1
This situation is becoming increasingly frustrating.,2
I need a AAAA now.,2
Contact with manager ,1
He said he didn’t know why I got transfered  to a AAAA,2
may I talk to a AAAA,2
I want to speak with a manager ,1
Would like to be transferred to the BBBB queue,2
Please transfer my chat to manager ,1
what’s your job as a AAAA?,2
"Hello, could you transfer me to a BBBB please",2
Can I speak to a AAAA about this?,2
I need a AAAA please,2
ok if i dont hear anything by Thursday i would like to speak to a supervisor ,1
please give me a number to a supervisor.,1
Get your manager or whoever can,1
can you ask a AAAA?,2
I will be going to a BBBB.,2
i need to contact with  your BBBB,2
"otherwise, yes, transfer to AAAA",2
I spoke with a AAAA,2
 put me to a AAAA.,2
what kind of help will a AAAA can give me,2
I need your manager to call me,1
I will need a BBBB,2
"Yes, I need to speak to a BBBB",2
AAAA is great ,2
his BBBB gave the same response,2
IO need to speak to a supervisor,1
Can you please check with a AAAA,2
I need to talk to a AAAA and not to you,2
Would it help if we escalate the call to a BBBB or BBBB? ,2
Can I please be connected with a AAAA?,2
I would like a BBBB ,2
A manager was helping me before ,2
To a manager,1
Hi Name are you a manager?,2
Hi I need a manager,1
can you put me through a manager?,1
I need your manager,1
Is there a way to speak to a AAAA now,2
may i speak with a manager ,1
The representative seemed unsure how to handle my situation.,2
please have a manager call me now.,1
I need to talk to a supervisor and not to you,1
 I wanted to speak with your supervisor,1
I could never get through to a manager,1
I had a conversation with supervisor,2
text,2
please have a BBBB call me now.,2
Is a supervisor available?,1
"Hello, I’d like to speak with a manager",1
Is a AAAA available that can expedite this order,2
could I be transferred directly to a supervisor?,1
provide me a AAAA in this chat,2
Asked for a supervisor,1
I got routed to a manager for further assistance.,2
Get your supervisor to handle this issue now,1
could I speak to a AAAA,2
I WANT TO TALK TO A manager RIGHT NOW,1
can you please transfer me to a supervisor?,1
please move my chat to a AAAA,2
manager is not helpful,2
i need to talk to a BBBB right now,2
can contact with supervisor ,1
provide me a BBBB in this chat,2
"Hello, could I speak to a manager please",1
I need to get to communicate with a manager,1
can I chat with a supervisor,1
Then connect me to them otherwise get me a BBBB,2
please connect me to your manager ?,1
I have to call like 6 times already even I spoke AAAA ,2
You are a bad BBBB,2
 I’d like to speak to a AAAA.,2
Sir get a AAAA,2
you are not a manager,2
I need to talk to a supervisor right now,1
do you have a supervisor I can speak too? ,1
May i contact with supervisor ,1
I believe a supervisor can better understand the complexity of my problem.,1
I was told I needed to be connected to manager,1
are you a good supervisor ,2
I want to speak with someone who has more authority.,2
I had a conversation with manager,2
are you a BBBB?,2
I want to talk to a BBBB ,2
I need to contact with manager,1
make sure a AAAA call me?,2
"Hello, could I speak to a supervisor please",1
Can you please contact with supervisor ,1
you are not a supervisor,2
Is there a supervisor that I can speak to please,1
PLEASE ESCALATE TO manager.,1
Talk to your manager,1
plese pass me to a manager,1
He said he didn’t know why I got transfered  to a BBBB,2
 Can you get a BBBB,2
Is a supervisor available that can expedite this order,1
i just need a supervisor right now thanks,1
I insist on having a supervisor handle my complaint,1
can i contact with BBBB ?,2
"I would like to be transferred to the AAAA queue,",2
Please connect me with a supervisor.,1
I am waiting on a Supervisor,1
i need a phone number of a manager or manager pls,1
chat with AAAA was helpful,2
I would like to talk to your manager,1
I am looking for the details from last night that the manager told me,2
"manager or Manager, a boss, basically.",1
Thanks for getting me to a AAAA,2
"I would like to be transferred to the manager queue,",1
 please route me to a AAAA.,2
I was on hold for a BBBB and it hung up on me.,2
Where is your supervisor? ,1
talk with BBBB was not that helpful,2
BBBB please,2
his manager gave the same response,2
please just transfer me to a manager,1
I will be calling to speak to a AAAA ,2
I wasn't able to get in contact with a AAAA,2
I would like to speak to your BBBB,2
Please have a Supervisor contact immediately.,1
My call with BBBB got disconnected,2
can a AAAA call me?,2
Sir get a supervisor,1
someone transferred the chat to a supervisor. ,2
may I please be connected with a BBBB.,2
"Hello, I would like to speak with a manager",1
Are you a AAAA?,2
Is it possible to talk with a BBBB?,2
transfer me to your AAAA,2
transfer this chat to AAAA,2
please have a AAAA call me,2
I need your AAAA to contactl me,2
You may have to transfer me to a BBBB,2
can you check the conversation that I had with the BBBB,2
I'm requesting a supervisor's review of my case.,1
can I get a BBBB,2
Is any supervisor on call ,1
The representative's responses were inadequate.,2
I was speaking to a supervisor ,2
I was holding for the supervisor,2
I’d like this chat transferred to a AAAA,2
Asked for a manager,1
Where is the manager,1
please give me a number to a manager.,1
Please transfer me to your manager,1
"Hello, I would like to speak with a AAAA",2
I also wish to speak to a supervisor.,1
Can you ask a supervisor to call me back?,1
i want to talk to the managere ,1
I need to speak with someone who can take immediate action.,2
Can you transfer to your BBBB?,2
I'm dissatisfied with the way my issue has been handled.,2
I need a BBBB now.,2
I want to chat with your manager,1
Is there another manager,1
so that’s why i needed to talk to a supervisor,1
I wanted to speak to a manager,1
"yes, please push me to the supervisor team please",1
I need supervisor ,1
can you please ask BBBB to do that,2
Hi I was disconnected waiting for a BBBB,2
I was speaking to a BBBB ,2
i need a supervisor ,1
I was asked to talk to a  Supervisor for more help.,2
I don’t feel the BBBB was of any help,2
I was told I needed to be connected to BBBB,2
Talk to your BBBB,2
please have a BBBB call me,2
So give me a supervisor ,1
So give me a manager ,1
I WANT TO TALK TO A BBBB RIGHT NOW,2
I don’t think you are the correct BBBB ,2
please give me a number to a AAAA.,2
I want to speak with their supervisor.,1
Can i contact with BBBB ,2
Please transfer me to a AAAA,2
How long is the wait to speak to a AAAA?,2
I need to be connected with a BBBB.,2
I already spoke to a AAAA ,2
provide me a AAAA in this chat as soon as possible ,2
I want a supervisor to talk with ,1
 Please transfer me.,2
"Ok, thank you for routing me to a manager.",2
I’d like this chat transferred to a manager,1
Can you forward me to a manager,1
have a BBBB call me,2
can a supervisor call me?,1
I think you are a good BBBB ,2
I had a small conversation with a manager,2
"I would like to speak with a manager please.	",1
Are you a manager? ,2
You need to have a manager to call me.,1
provide me a manager in this chat as soon as possible ,1
I want to talk to an AAAA,2
Could I speak to your BBBB? ,2
I need to speak with your manager,1
I insist on speaking with a supervisor regarding this matter. Please escalate it.,1
Hi can I please be transferred to a supervisor,1
I do need to still talk to a supervisor,1
you should be able to escalate this to a manager,1
transfer this chat to BBBB ,2
I can contact with manager ,1
AAAA?,2
I suggest u get a BBBB involved,2
"Can someone call me, maybe your supervisor?",1
I think this is what a supervisor should do,2
Can I call in and talk to a supervisor,1
Can i  please contact with BBBB ,2
Are you a BBBB,2
I had a BBBB help me before,2
I was expecting a BBBB,2
Hi I need a AAAA,2
What the supervisor did is process,2
can you please trasnfer me to a supervisor.,1
I spoke with a supervisor,2
 Can you get a AAAA,2
Asked for a AAAA,2
Is there another BBBB,2
So give me a BBBB ,2
Hi I was disconnected waiting for a supervisor,2
can you put me through to someone like a manager?,1
I want to talk to a AAAA right now,2
please get me a manager !,1
please connect me with a supervisor,1
Are you a BBBB? ,2
Hi Name are you a BBBB?,2
can you transfer my chat now to a supervisor,1
can I have a supervisor?,1
I just need to be transferred to a supervisor correct?,1
I HAVE NOT HEARD FROM A SUPERVISOR,1
I need a supervisor's intervention to resolve it.,1
have a AAAA call me ,2
I wanted to speak to a BBBB,2
I need a BBBB please,2
Please get your BBBB ,2
Can I please be put through to a supervisor please,1
Could u just transfer me to a BBBB pls,2
I spoke with a manager,2
Can you get me a manager,1
I need a manager,1
Is a AAAA available?,2
Do you have a manager I can speak to?,1
Can you Please transfer this chat to AAAA ,2
 Let me speak to a supervisor who can assist me.,1
I need to speak to a supervisor,1
I would like to send your manager recommendation,2
Please transfer me to one.,2
Is there a way to speak to a manager now,1
can I have a manager?,1
please expedite this request,1
Supervisor is not helpful,2
Contact upper level BBBB to help me,2
I have spoke to AAAA ,2
Can you please connect me with a supervisor?,1
Please contact with manager ,1
I need your AAAA,2
I had a supervisor help me,2
Please have a Supervisor call Me immediately.,1
I need to talk with a manager please,1
AAAA is not required,2
may I talk to a BBBB,2
what are you the AAAA of,2
Are u the BBBB,2
Can I speak with a BBBB? ,2
Can you Please transfer this chat to supervisor ,1
I was told I needed to be connected to AAAA,2
his supervisor gave the same response,2
I will be calling to speak to a BBBB ,2
Can I please talk to your supervisor right now?,1
How long is the wait to speak to a manager?,1
You are a bad AAAA,2
 I should contact with BBBB ,2
Ok contact with supervisor,1
"I'd like to escalate this matter to a supervisor, please.",1
This issue requires the attention of someone. ,2
I need a supervisor to step in and address the issue.,1
can i contact with supervisor ?,1
Can I please chat with a supervisor about this?,1
can move my chat to a BBBB,2
Please transfer me to a  AAAA ,2
I need to get to communicate with a BBBB,2
I need a supervisor to step in and ensure a prompt resolution to this matter.,1
I demand to speak with someone in charge!,1
Could I speak to your AAAA? ,2
I will only talk to a manager,1
I need to speak with a supervisor please.,1
I want to be transferred to a BBBB,2
Can I chat with your manager?,1
I need to speak with a manager please.,1
I don’t feel the supervisor was of any help,2
please have a BBBB call me ,2
Ok please transfer me to your BBBB,2
may I please be connected with a manager.,1
I need to contact with your manager,1
what kind of help will a BBBB can give me,2
the manager was going to send me a reply,2
BBBB?,2
plese pass me to a supervisor,1
Can i contact with your  supervisor ,1
Are you the supervisor,1
Please have a BBBB call Me immediately.,2
can I get you're manager,1
manager is great ,1
I suggest u get a AAAA involved,2
Is it possible to talk with a AAAA?,2
you should move my chat to a supervisor,1
I was told to a chat with a manager for more help.,2
I need an BBBB,2
Get your BBBB to handle this issue now,2
you should get me a manager !,1
please have a manager call me,1
Hi I need a BBBB,2
transfer this chat to supervisor,1
i want to talk to the AAAAe ,2
I spoke with a manager,2
I want to chat with a AAAA!,2
Then connect me to them otherwise get me a AAAA,2
Hi are you a BBBB?,2
you should be able to escalate this to a AAAA,2
"Hello, could you transfer me to a supervisor please",1
Need a manager please,1
I would like to speak to your AAAA,2
plese pass me to a BBBB,2
what can a AAAA do,2
 I wanted to speak with your BBBB,2
I will be calling to speak to a manager ,1
Can you please check with a supervisor,1
I will be calling to speak to a supervisor ,1
I got impressed with the manager,2
The representative couldn't provide a satisfactory solution.,2
You are a bad supervisor,2
conversation with AAAA was not helpful,2
I need a AAAA to process this,2
A supervisor was helping me before ,2
No. Please price match or connect me to your AAAA.,2
I want to chat with a BBBB!,2
how many supervisor do you have,2
Thanks for getting me to a supervisor,2
can I  talk to a manager,1
I hope you have a AAAA I can speak to?,2
Can i contact with AAAA ,2
Will you or the manager also be able to help,2
Please transfer my chat to supervisor ,1
so that’s why i needed to talk to a AAAA,2
please contact manager,1
At this point I would like a manager to contact me,1
make sure a supervisor call me?,1
have a manager call me,1
have a AAAA call me please?,2
I need to speak with a supervisor. ,1
how many manager do you have,2
could I be transferred directly to a AAAA?,2
I request to speak with a AAAA,2
Can you please connect me with a BBBB?,2
Would I be able to speak to the supervisor ,1
I want to escalate this issue.,2
Is there someone in charge I can speak to?,1
the manager was supposed to be sending a gift,2
Where is your manager? ,1
I demand to speak with someone in charge!,1
Hi can I please be transferred to a AAAA,2
Hi Name are you a BBBB?,2
"Hello, I’d like to speak with a supervisor",1
Would it help if we escalate the call to a AAAA or BBBB? ,2
do  transfer this chat to BBBB ,2
"Yes, I need to speak to a AAAA",2
Do you have a BBBB,2
I asked for a manager,1
I got transfered  to one of our manager for resolving this issue,2
I have to call like 6 times already even I spoke manager ,1
I got transferred to a AAAA,2
I need a supervisor's involvement.,1
I can contact with AAAA ,2
your BBBB please,2
Is it possible to talk with a supervisor?,1
Can I please talk to your manager right now?,1
can i contact with AAAA ?,2
I was told to a speak with a Supervisor for more help.,2
I need to speak with your AAAA,2
I would like to esxalte this matter at this time and speak to aBBBB please and thank you,2
Hi Name are you a manager?,2
"I'd like to escalate this matter to a supervisor, please.",1
I need to contact with your AAAA,2
please get a AAAA,2
 I need a supervisor's intervention to resolve it.,1
I have to call like 6 times already even I spoke supervisor ,1
can you please transfer me with a supervisor,1
I think you are a good supervisor ,2
please just transfer me to a BBBB,2
Please transfer this chat to supervisor ,1
Can I please speak with a AAAA? ,2
Can I speak with a AAAA? ,2
To a supervisor,1
please make sure a BBBB call me?,2
I don’t remember the supervisor name,2
May i contact with manager ,1
Are you the AAAA?,2
Can I chat with your AAAA?,2
I don’t need your AAAA,2
I got transferred to a manager,2
can i contact with manager ?,1
Where is your BBBB? ,2
I'm requesting a supervisor's attention.,1
I want to talk to a supervisor right now,1
So give me a AAAA ,2
Can I speak with a manager,1
I need to speak with a manager please,1
PLEASE ESCALATE TO AAAA.,2
Are you a manager,1
I require the attention of a supervisor who can provide a more comprehensive solution.,1
what are you the BBBB of,2
I'm requesting a supervisor's intervention to resolve this matter quickly.,1
I got impressed with the supervisor,2
is there a BBBB or BBBB I can talk to,2
I suggest u get a manager involved,1
I want a BBBB,2
transfer this chat to BBBB ,2
how many BBBB do you have,2
I would want to be transferred to a supervisor,1
Can I call in and talk to a BBBB,2
i need a manager ,1
i want to talk to the BBBBe ,2
I want to escalate it to a supervisor.,1
No. Please price match or connect me to your BBBB.,2
you are not a AAAA,2
 I have to go to the BBBB to get that resolved,2
Will you or the BBBB also be able to help,2
I insist on having a supervisor handle my complaint,1
let me speak to a manager immediately,1
what are you the supervisor of,2
I need to discuss a serious matter.,2
I think this is what a AAAA should do,2
Can you please check with a BBBB,2
Contact upper level manager to help me,1
supervisor told me to do that,2
I need to contact with BBBB,2
Need a supervisor please,1
Get your BBBB or whoever can,2
Can you transfer to your manager?,1
Please contact a AAAA ,2
I need an AAAA,2
can you ask a supervisor?,1
please just transfer me to a AAAA,2
Let me talk to your manager,1
Can you arrange a call back from a supervisor?,1
Can you expedite this request,2
The current support is insufficient.,2
I would speak to a supervisor my self,1
AAAA please,2
can you check with your AAAA and find best way to handle this?  ,2
Can you connect me with a supervisor who has the authority to resolve my issue?,1
Contact with BBBB ,2
Can I speak to a supervisor about this?,1
please connect me with a manager,1
I need to speak with someone more senior.,1
what can a manager do,2
I need to speak to a AAAA now,2
I thought you are the manager,2
Please transfer me to a supervisor who can take ownership of this problem.,1
Can you connect me to a supervisor please,1
I don’t remember the BBBB name,2
Can you transfer to your supervisor?,1
Can you have a manager call me please?,1
I have spoke to supervisor ,2
You are a supposed to be a  supervisor,2
Are you a supervisor,1
Can i  please contact with manager ,1
transfer me to a manager,1
 I wanted to speak with your manager,1
I need you to speak to a BBBB,2
I was expecting a supervisor,1
I want a AAAA.,2
I want to discuss it with a supervisor.,1
I want to chat with a manager!,1
Thanks for getting me to a manager,2
please give me a number to a BBBB.,2
supervisor gave me a summary,2
Can you xfer me to supervisor,1
Do you have a manager,1
I need to speak with a supervisor.,1
is there anyway a AAAA can take the chat ,2
have a supervisor call me ,1
I would like to speak with a AAAA,2
I need to talk to a supervisor thus is not settled,1
I want to discuss it with a supervisor.,1
do you have supervisor for each department,2
Is there a way to speak to a BBBB now,2
have been trying to reach a supervisor for a few days now.,1
I believe a supervisor can provide a fresh perspective on my problem.,1
I know what a AAAA is capable of,2
Can I speak with a AAAA,2
your respresentative was trying to connect me to a manager team,2
Are you a BBBB and where are you stationed out of please?,2
I'm unable to get a satisfactory resolution.,2
They were suppose to transfer me to a supervisor,1
I have already had a talk  with  supervisor,2
I want to chat with your supervisor,1
Get me a supervisor !,1
I request to have a chat with your AAAA,2
Get me to a BBBB.,2
I want a AAAA this is ridiculous,2
I need a supervisor to step in and ensure a satisfactory outcome.,1
I need to have a BBBB,2
I thought you are the AAAA,2
transfer me to a AAAA,2
provide me a BBBB ,2
I need to get to communicate with a supervisor,1
Hi can I please be transferred to a BBBB,2
Can I please be connected with a supervisor?,1
The representative was unprofessional.,2
I want to speak with a supervisor who can address my concerns.,1
"Great, are you a supervisor?",2
I need your BBBB if you can just transfer me,2
So a AAAA can't call me,2
Can I please be connected with a BBBB?,2
Please transfer me to a supervisor who can address my concerns.,1
Can you connect me to a manager please,1
Could u just transfer me to a manager pls,1
This matter requires immediate attention from a supervisor. Please connect me.,1
I got routed to a AAAA for further assistance.,2
Get your manager to handle this issue now,1
I got impressed with the BBBB,2
I thought you are the supervisor,2
Please transfer me to your BBBB,2
I would like a supervisor ,1
Would like to be transferred to the manager queue,1
I want to talk to a AAAA now,2
I was told to a speak with a AAAA for more help.,2
CAN I CONTACT WITH manager,1
I will only talk to a AAAA,2
Ok do you have a AAAA available ,2
This problem has been ongoing for too long,2
Please contact with AAAA ,2
I'm requesting a supervisor's presence to ensure a fair resolution.,1
Can you transfer to BBBB?,2
I did talk with your supervisor,2
ok if i dont hear anything by Thursday i would like to speak to a manager ,1
can you put me through to someone like a AAAA?,2
I need your manager to call me,1
Can I speak with a manager please,1
Can you connect me to a AAAA please,2
The representative's responses have been evasive.,2
"I would like to be transferred to the BBBB queue,",2
I need a supervisor to review the handling of my case.,1
I was speaking to a manager ,2
ok transfer me to your AAAA,2
I was impressed with the AAAA,2
I was being transfered for a differen issue to a manager,2
I need a manager to process this,1
can you please transfer me to a manager?,1
Supervisor please,1
I was asked to talk to a  AAAA for more help.,2
Please have a AAAA call Me immediately.,2
what kind of help will a supervisor can give me,2
I need a supervisor to help.,1
Connect me with one.,2
Ok please transfer me to your manager,1
put me to a manager.,1
Connect me with a supervisor.,1
Can I please chat with a AAAA about this?,2
I'm not getting the assistance I need.,2
Let me speak to a supervisor who can understand the gravity of the situation.,1
"otherwise, yes, transfer to supervisor",1
I'm at my wit's end.,2
ensure a fair and impartial resolution.,2
please transfer me to the AAAA’s line.,2
Well I suggest you get a manager involved because,1
Are you the BBBB?,2
I don’t think you are the correct supervisor ,2
I need a BBBB to process this,2
I don’t need your BBBB,2
do transfer this chat to manager ,1
I spoke with a BBBB,2
I need you to speak to a BBBB,2
I have already got help from a  AAAA,2
Are you a supervisor?,1
Can you have a ABCD call me please?,2
I was expecting a manager,1
Hi Name are you a supervisor?,2
BBBB is great ,2
Get your ABCg or whoever can,2
ok transfer me to your supervisor,1
Get me a BBBB !,2
I want to speak with a BBBB ,2
What the ABDD did is process,2
I would like to talk to your Abcd,2
Please transfer this chat to BBBB ,2
I would speak to a BBBB my self,2
I've encountered an exceptional circumstance.,2
 The current resolution is unsatisfactory.,2
Are you a manager and where are you stationed out of please?,2
Are you the BBBB,2
Xfer me to AbSS,2
manager told me to do that?,2
SUPERVISOR,2
MANAGER,2
manager,2
supervisor,2
super,2
manage,2
hello supervisor?,2
hello manager?,2
hi manager?,2
hi supervisor,2
I wish to speak with supervisor,1
I wish to speak with manager,1
I am waiting for a supervisor ,1
I am waiting for a manager ,1
I need to connect with a supervisor,1
I need to connect with a manager,1
I want to speak with a supervisor before that,1
I want to speak with a manager before that,1
Can you give me a delivery status on the supermarket children’s item I order in January?,2
I have to call like 6 times already even I spoke supervisor ,2
I am still stuck with same issue even after talking with supervisor,2
Thanks for getting me to a supervisor,2
Thanks for letting me talk to a supervisor,2
I was on hold for a supervisor and it hung up on me.,2
I was on hold for a manager and it hung up on me.,2
"So, I asked  supervisor about the bar code",2
"Every time I get transferred to a supervisor for the adjustment, I get disconnected. ",2
"Every time I get transferred to a manager for the adjustment, I get disconnected. ",2
"	it was not delivered to my garage! My garage was closed as I was not home!!!! Supervisor please",1
"	it was not delivered to my garage! My garage was closed as I was not home!!!! manager please",1
supervisor please,1
Manager please,1
Supervisor please. I was on chat with someone and they were supposed to transfer me.,1
disconnected twice now. Supervisor please,1
disconnected twice now. manager please,1
once - today.  Please elevate this to a manager if you cannot help me,1
once - today.  Please elevate this to a supervisor if you cannot help me,1
I asked to speak to a supervisor and DENISE that came was smacking gum like a cow. So unprofessional.,1
